// filepath: /Users/danny/cis-allocations/input.csv
"Timestamp","Enter your name:","Enter your email:","Enter the name of your school:","Personal contact number:","How many MUNs have you been to?","What is your first preferred committee?","What is your second preferred committee? (cannot be identical to first preferred committee)"
"2025/05/08 11:49:21 AM GMT+4","Rebecca Patel","","CIS","","8","UNEA","UNDP"
"2025/05/08 11:49:21 AM GMT+4","Emma Wood","","CIS","","2","WHO","SPECPOL"
"2025/05/08 11:49:21 AM GMT+4","Mark Collins","","CIS","","3","LEGAL","UNPBC"
"2025/05/08 11:49:21 AM GMT+4","Steven Jones","","CIS","","9","DISEC","WTO"
"2025/05/08 11:49:21 AM GMT+4","Ruth Reed","","CIS","","15","SPECPOL","UNHRC"
"2025/05/08 11:49:21 AM GMT+4","George Watson","","CIS","","1","SOCHUM","UNPBC"
"2025/05/08 11:49:21 AM GMT+4","Joseph Phillips","","CIS","","2","WTO","UNPBC"
"2025/05/08 11:49:21 AM GMT+4","Elizabeth Ortiz","","CIS","","7","SPECPOL","UNHCR"
"2025/05/08 11:49:21 AM GMT+4","Ashley Green","","CIS","","8","UNICEF","UNPBC"
"2025/05/08 11:49:21 AM GMT+4","Nicholas Foster","","CIS","","8","LEGAL","ILO"
"2025/05/08 11:49:21 AM GMT+4","Emma Hughes","","CIS","","14","UNIDO","UNGA"
"2025/05/08 11:49:21 AM GMT+4","Edward Williams","","CIS","","15","UN-WOMEN","DISEC"
"2025/05/08 11:49:21 AM GMT+4","Ruth Cook","","CIS","","5","SOCHUM","SPECPOL"
"2025/05/08 11:49:21 AM GMT+4","Sharon Diaz","","CIS","","15","IMF","LEGAL"
"2025/05/08 11:49:21 AM GMT+4","Samuel Cook","","CIS","","1","ICJ","UNICEF"
"2025/05/08 11:49:21 AM GMT+4","Melissa Garcia","","CIS","","4","WHO","UNGA"
"2025/05/08 11:49:21 AM GMT+4","Larry Rogers","","CIS","","10","UNDP","ICC"
"2025/05/08 11:49:21 AM GMT+4","Brenda Evans","","CIS","","9","UNPBC","SPECPOL"
